customer_id,first_name,last_name,email,phone,city,registration_date,loyalty_tier,birth_year
2691,Olev,Valk,olev.valk@gmail.com,+372 8155 5843,Tallinn,2020-12-03,gold,1978
2692,Ragnar,Pärn,ragnar.parn@mail.ee,+372 5301 6449,Tallinn,2023-08-17,,1977
2693,Kadri,Toom,kadri.toom@hot.ee,+372 5901 2352,Tallinn,2023-03-03,bronze,1964
2694,Lea,Laas,,+372 5168 9176,Pärnu,2024-04-28,,1974
2695,Kadri,Orav,kadri.orav@yahoo.com,+372 5700 9972,Tallinn,2023-02-02,bronze,1984
2696,Meelis,Tammik,meelis.tammik@telia.ee,+372 5581 0633,Tartu,2020-10-21,bronze,1999
2697,Anu,Lepp,anu.lepp@telia.ee,+372 8711 9920,Tallinn,2022-07-14,,1962
2698,Annika,Sepp,annika.sepp@telia.ee,+372 8976 7656,Narva,2024-06-19,,1970
2699,Lea,Veski,lea.veski2@telia.ee,+372 5724 9396,Tallinn,2024-09-03,bronze,1962
2700,Rein,Kallas,rein.kallas@outlook.com,+372 8427 3759,Jõhvi,2020-10-11,gold,1981
2701,Karin,Salu,karin.salu@outlook.com,+372 5421 7815,Kuressaare,2024-11-20,bronze,1995
2702,Terje,Kallas,terje.kallas@yahoo.com,+372 5619 3781,Tallinn,2023-01-01,,1963
2703,Raivo,Nõmm,raivo.nomm@yahoo.com,+372 8510 7426,Kuressaare,2025-01-25,bronze,1985
2704,Peeter,Järv,peeter.jarv@mail.ee,+372 5733 4082,Pärnu,2022-08-25,,1962
2705,Hille,Kask,hille.kask@mail.ee,+372 5371 3956,Tallinn,2020-10-08,silver,2002
2706,Ants,Tamm,ants.tamm@gmail.com,+372 8802 4224,Tallinn,2021-08-16,,1981
2707,Külli,Sild,kulli.sild@mail.ee,+372 5439 3553,Tartu,2023-08-10,bronze,1994
2708,Marika,Kask,marika.kask@telia.ee,+372 5145 0288,Tallinn,2023-11-07,bronze,1964
2709,Katrin,Org,katrin.org@hot.ee,+372 5102 0817,Tallinn,2022-09-30,bronze,1987
2710,Laura,Org,laura.org@mail.ee,+372 5285 8332,Tallinn,2024-06-09,,1998
2711,Taavi,Teder,taavi.teder@outlook.com,+372 5917 2892,Tartu,2021-11-09,gold,1980
2712,Väino,Rosin,vaino.rosin@outlook.com,+372 5797 4638,Tallinn,2021-11-19,,1983
2713,Kristiina,Raud,kristiina.raud@gmail.com,+372 5904 0362,Tallinn,2020-04-29,,2005
2714,Karin,Raud,karin.raud@telia.ee,+372 8534 9418,Jõhvi,2020-09-21,,1973
2715,Erkki,Veski,,+372 5414 6223,Võru,2020-08-21,gold,1998
2716,Grete,Kallas,grete.kallas@telia.ee,+372 5657 9150,Tallinn,2023-08-09,silver,1994
2717,Marika,Männik,marika.mannik@yahoo.com,+372 5282 5935,Tartu,2021-09-26,gold,1975
2718,Kevin,Nurk,kevin.nurk@gmail.com,+372 5955 1268,Narva,2024-11-20,,1994
2719,Taavi,Vaher,taavi.vaher@outlook.com,+372 5790 0972,Tallinn,2023-05-16,silver,1998
2720,Peeter,Lass,peeter.lass@mail.ee,+372 8161 5065,Tallinn,2021-01-04,,1977
2721,Väino,Mitt,vaino.mitt@hot.ee,+372 5592 5993,Pärnu,2022-08-21,bronze,1982
2722,Erkki,Lill,erkki.lill@mail.ee,+372 5413 6485,Tallinn,2021-09-24,,1966
2723,Reet,Kuusik,,+372 5603 8700,Tartu,2023-04-09,,1998
2724,Mart,Lass,mart.lass@mail.ee,+372 5668 9462,Tartu,2022-06-06,,1966
2725,Priit,Kõiv,priit.koiv@hot.ee,+372 5172 0823,Haapsalu,2022-08-19,,1997
2726,Elis,Laas,elis.laas@gmail.com,+372 5402 7349,Tallinn,2022-04-08,silver,2001
2727,Elis,Pärn,elis.parn@hot.ee,+372 8920 1192,Jõhvi,2023-12-24,silver,1987
2728,Marika,Kaalep,marika.kaalep@hot.ee,+372 8596 6951,Tallinn,2023-06-01,silver,1988
2729,Kristi,Vaher,kristi.vaher@yahoo.com,+372 8393 7661,Tallinn,2023-08-21,,1976
2730,Merle,Puusepp,merle.puusepp@outlook.com,+372 8847 8917,Tallinn,2022-06-13,bronze,1999
2731,Indrek,Mets,indrek.mets@telia.ee,+372 5431 5115,Tartu,2022-05-24,,1989
2732,Karin,Valk,,+372 5525 4758,Tartu,2021-03-02,gold,1961
2733,Eha,Järv,,+372 5373 5682,Tallinn,2021-03-14,,2001
2734,Marika,Orav,marika.orav@mail.ee,+372 5117 3481,Tallinn,2020-11-15,,1974
2735,Maie,Koppel,maie.koppel@telia.ee,+372 5588 2134,Tallinn,2021-05-17,gold,1996
2736,Priit,Pihl,priit.pihl@outlook.com,+372 8549 7947,Tartu,2024-01-24,bronze,2005
2737,Piret,Kivi,piret.kivi@mail.ee,+372 5788 0190,Tallinn,2022-04-09,,1984
2738,Arvo,Rebane,arvo.rebane@telia.ee,+372 8276 1196,Tartu,2024-11-05,silver,2002
2739,Sigrid,Kõiv,sigrid.koiv@gmail.com,+372 5215 7925,Pärnu,2021-10-14,,1966
2740,Tiina,Kallas,tiina.kallas@telia.ee,+372 5343 2849,Paide,2021-07-08,,1980
2741,Sandra,Lõhmus,sandra.lohmus@telia.ee,+372 5947 4888,Tallinn,2020-01-10,,1964
2742,Henri,Mets,henri.mets@telia.ee,+372 5551 8251,Tallinn,2021-04-02,,1988
2743,Ragnar,Luik,ragnar.luik@gmail.com,+372 8220 1689,Tallinn,2020-05-11,,1976
2744,Piret,Kull,piret.kull@telia.ee,+372 8997 3443,Rakvere,2021-10-06,gold,1970
2745,Ene,Liiv,ene.liiv@mail.ee,+372 8118 4542,Tallinn,2021-04-30,,1988
2746,Toomas,Org,toomas.org@yahoo.com,+372 5471 8352,Tallinn,2022-04-04,bronze,1989
2747,Piret,Kuusik,piret.kuusik@gmail.com,+372 5826 0498,Kuressaare,2020-10-28,gold,1963
2748,Enn,Mägi,enn.magi@hot.ee,+372 5481 2349,Pärnu,2021-01-27,silver,2001
2749,Urmas,Kukk,urmas.kukk@mail.ee,+372 5727 2267,Jõhvi,2021-08-12,bronze,1961
2750,Tõnu,Lõoke,,+372 5214 3348,Haapsalu,2021-06-19,gold,2004
2751,Ants,Kuusk,ants.kuusk@outlook.com,+372 8749 3611,Tallinn,2023-02-04,,1963
2752,Merle,Kaalep,merle.kaalep@outlook.com,+372 8353 1507,Tallinn,2021-04-28,gold,1996
2753,Arvo,Orav,arvo.orav@yahoo.com,+372 5344 2837,Paide,2024-12-29,silver,1997
2754,Liis,Nurk,liis.nurk@yahoo.com,+372 5588 1239,Pärnu,2022-04-23,silver,1963
2755,Merike,Nõmm,merike.nomm@yahoo.com,+372 8548 9356,Jõhvi,2020-08-19,,1977
2756,Tiit,Värk,,+372 5668 0392,Tartu,2023-04-05,,1986
2757,Erkki,Mets,erkki.mets@yahoo.com,+372 5532 8363,Võru,2021-05-21,,1969
2758,Kristi,Oja,kristi.oja@gmail.com,+372 5151 0614,Tartu,2022-01-21,gold,1974
2759,Erkki,Saar,erkki.saar@gmail.com,+372 5645 6647,Pärnu,2022-05-30,,1981
2760,Ene,Pärn,ene.parn@outlook.com,+372 5151 7511,Tallinn,2021-09-30,gold,1992
2761,Külli,Org,kulli.org@telia.ee,+372 5849 7343,Pärnu,2021-08-19,bronze,1966
2762,Liina,Kõiv,liina.koiv@gmail.com,+372 8196 9678,Viljandi,2023-02-04,silver,1962
2763,Margus,Lõoke,margus.looke@telia.ee,+372 5729 9829,Jõhvi,2023-05-26,silver,1999
2764,Maris,Männik,,+372 5858 6997,Tartu,2022-07-11,bronze,1976
2765,Kersti,Veski,kersti.veski@gmail.com,+372 5736 4079,Tallinn,2022-01-10,,1991
2766,Tarmo,Luik,tarmo.luik@yahoo.com,+372 5253 3410,Haapsalu,2023-06-02,silver,1982
2767,Kaido,Mitt,kaido.mitt@mail.ee,+372 8839 8340,Rakvere,2020-08-30,silver,1977
2768,Aivar,Toom,aivar.toom@mail.ee,+372 8632 2770,Haapsalu,2021-11-03,,2003
2769,Kaido,Toom,kaido.toom@hot.ee,+372 5344 5284,Tallinn,2024-06-13,,1961
2770,Toomas,Lõhmus,toomas.lohmus@telia.ee,+372 8374 0707,Kuressaare,2022-03-24,gold,1973
2771,Andres,Sepp,andres.sepp@yahoo.com,+372 5488 8793,Tallinn,2023-02-22,bronze,2005
2772,Jüri,Vaher,juri.vaher@gmail.com,+372 5596 2062,Tartu,2021-01-21,gold,1979
2773,Enn,Lõhmus,enn.lohmus@yahoo.com,+372 5302 6918,Tallinn,2023-05-24,,1983
2774,Külli,Rebane,,+372 5521 8646,Tallinn,2020-07-10,,1967
2775,Ants,Paju,ants.paju@mail.ee,+372 5752 1975,Pärnu,2024-04-24,,1978
2776,Triin,Lill,triin.lill@hot.ee,+372 5855 4178,Tallinn,2024-01-08,,1978
2777,Rasmus,Mets,,+372 8195 6614,Narva,2023-10-19,bronze,1995
2778,Taavi,Teder,,+372 8413 2735,Paide,2022-08-17,silver,1980
2779,Lea,Teder,lea.teder@mail.ee,+372 5504 5242,Pärnu,2020-09-11,gold,2000
2780,Kati,Tamm,kati.tamm@yahoo.com,+372 8234 6529,Tallinn,2021-06-10,,1999
2781,Henri,Roots,henri.roots@gmail.com,+372 8180 6548,Tallinn,2022-11-12,,1978
2782,Hille,Mägi,hille.magi@gmail.com,+372 8408 0739,Tallinn,2024-03-11,,1988
2783,Ragnar,Roots,ragnar.roots@yahoo.com,+372 5570 3486,Narva,2025-02-02,,1979
2784,Mart,Pihl,,+372 5536 5657,Tallinn,2022-10-30,gold,1989
2785,Grete,Tamm,grete.tamm@telia.ee,+372 5724 6487,Tallinn,2023-04-25,,1984
2786,Marika,Luik,marika.luik@mail.ee,+372 5281 9035,Tallinn,2024-12-08,,1984
2787,Terje,Lõhmus,terje.lohmus@hot.ee,+372 5107 4435,Paide,2021-03-25,silver,1961
2788,Väino,Arro,vaino.arro@telia.ee,+372 5120 3463,Valga,2022-07-29,,1981
2789,Henri,Järv,henri.jarv@outlook.com,+372 5433 0946,Pärnu,2020-08-28,,1977
2790,Kalev,Valk,kalev.valk@gmail.com,+372 5438 8723,Tallinn,2024-12-03,bronze,1976
2791,Ene,Saar,ene.saar@telia.ee,+372 8235 5797,Narva,2023-03-20,bronze,1973
2792,Merike,Mägi,merike.magi@hot.ee,+372 5885 8437,Paide,2021-11-01,,2005
2793,Hille,Nõmm,hille.nomm@outlook.com,+372 5910 3345,Tallinn,2021-07-28,gold,1992
2794,Ago,Lõoke,,+372 5309 5631,Pärnu,2020-02-23,gold,1972
2795,Urmas,Valk,urmas.valk@outlook.com,+372 5998 9730,Tallinn,2023-04-17,bronze,1990
2796,Kersti,Rosin,,+372 5945 0033,Pärnu,2024-07-28,,1971
2797,Siim,Paas,siim.paas@yahoo.com,+372 8103 1901,Tallinn,2022-11-23,bronze,1998
2798,Sandra,Puusepp,sandra.puusepp@hot.ee,+372 8906 2153,Paide,2025-02-09,bronze,2005
2799,Aili,Sepp,aili.sepp@yahoo.com,+372 5362 6613,Tallinn,2020-08-03,bronze,1989
2800,Nele,Toom,nele.toom@yahoo.com,+372 8676 1566,Tartu,2025-02-27,bronze,1981
2801,Ants,Rebane,ants.rebane@gmail.com,+372 5980 8211,Pärnu,2024-08-13,,1979
2802,Kevin,Lõhmus,kevin.lohmus@mail.ee,+372 8914 5956,Tallinn,2021-02-27,gold,1973
2803,Erkki,Kallas,erkki.kallas@telia.ee,+372 8518 5065,Tallinn,2022-08-05,silver,1971
2804,Tõnu,Nurk,tonu.nurk@hot.ee,+372 5182 7590,Tallinn,2023-09-28,,1981
2805,Annika,Must,annika.must@outlook.com,+372 5495 0248,Tallinn,2021-07-11,,1999
2806,Kevin,Paas,kevin.paas@outlook.com,+372 8913 7888,Narva,2022-08-18,gold,1962
2807,Meelis,Nurk,meelis.nurk@mail.ee,+372 8578 8432,Tartu,2023-10-03,bronze,1974
2808,Aili,Lõhmus,aili.lohmus@outlook.com,+372 8303 1114,Kuressaare,2021-11-08,,1989
2809,Madis,Kull,madis.kull@gmail.com,+372 5783 7497,Võru,2021-07-25,,1988
2810,Meelis,Kuusik,meelis.kuusik@yahoo.com,+372 5413 1382,Pärnu,2024-09-15,bronze,1969
2811,Tiina,Lepik,tiina.lepik@gmail.com,+372 5264 7878,Tallinn,2024-09-25,bronze,1962
2812,Marika,Raid,marika.raid@outlook.com,+372 5280 6574,Tallinn,2020-07-13,gold,1966
2813,Liis,Raid,liis.raid@gmail.com,+372 5325 5547,Tallinn,2024-03-21,silver,1992
2814,Arvo,Lepp,arvo.lepp@yahoo.com,+372 8740 9512,Tallinn,2025-01-11,bronze,1962
2815,Toomas,Toom,toomas.toom@gmail.com,+372 8466 2702,Tartu,2024-01-24,bronze,1976
2816,Mart,Värk,mart.vark@telia.ee,+372 8804 0625,Tallinn,2023-11-17,,1985
2817,Pille,Tamm,pille.tamm@hot.ee,+372 5860 5980,Haapsalu,2023-01-30,,1982
2818,Terje,Raud,,+372 5349 7428,Tartu,2023-09-10,silver,2001
2819,Enn,Sild,enn.sild@yahoo.com,+372 5452 0080,Rakvere,2022-04-12,silver,1995
2820,Piret,Hurt,piret.hurt@mail.ee,+372 5279 9336,Tartu,2024-09-24,,1996
2821,Liis,Hurt,liis.hurt@outlook.com,+372 5952 5403,Rakvere,2024-09-27,bronze,1987
2822,Kadri,Luik,kadri.luik@mail.ee,+372 5841 9720,Pärnu,2020-08-06,,1988
2823,Väino,Kuusk,vaino.kuusk@telia.ee,+372 5101 8435,Tallinn,2022-01-23,,1990
2824,Indrek,Sepp,indrek.sepp@gmail.com,+372 8987 3990,Tallinn,2023-11-02,silver,1985
2825,Aili,Raud,aili.raud@mail.ee,+372 5529 8471,Tallinn,2020-04-18,,1981
2826,Ants,Lõoke,ants.looke@mail.ee,+372 8863 6907,Tartu,2022-04-08,,2001
2827,Tõnu,Lepp,tonu.lepp@telia.ee,+372 5323 6740,Tartu,2022-03-11,gold,1990
2828,Elis,Liiv,elis.liiv@gmail.com,+372 5946 8520,Narva,2020-04-01,,1983
2829,Nele,Orav,nele.orav@outlook.com,+372 5916 8433,Tartu,2024-10-10,,1970
2830,Rain,Männik,rain.mannik@hot.ee,+372 5611 9726,Tallinn,2025-02-19,bronze,1999
2831,Rain,Oja,rain.oja@hot.ee,+372 8278 3426,Tallinn,2021-06-30,silver,1986
2832,Merike,Laas,merike.laas@yahoo.com,+372 5129 2203,Tartu,2024-03-04,,1976
2833,Kadri,Tammik,kadri.tammik@gmail.com,+372 5966 2012,Viljandi,2022-12-04,silver,2005
2834,Riina,Järv,riina.jarv@telia.ee,+372 8166 7656,Narva,2021-01-19,,2004
2835,Ene,Lepp,ene.lepp@hot.ee,+372 8914 4165,Tallinn,2021-12-17,,1978
2836,Liis,Liiv,liis.liiv@yahoo.com,+372 5816 8550,Tallinn,2022-04-21,bronze,1971
2837,Laura,Pihl,laura.pihl@yahoo.com,+372 5759 3528,Tallinn,2024-05-18,,1984
2838,Väino,Nurk,vaino.nurk@hot.ee,+372 5363 2722,Tallinn,2025-02-27,,1999
2839,Rasmus,Kallas,rasmus.kallas@yahoo.com,+372 8322 0646,Pärnu,2022-06-02,bronze,1969
2840,Merle,Toom,merle.toom@yahoo.com,+372 5430 3774,Tartu,2025-01-30,,1973
2841,Sirje,Lepik,sirje.lepik@telia.ee,+372 5973 7342,Tartu,2024-03-28,silver,1973
2842,Kristjan,Mets,kristjan.mets@mail.ee,+372 5567 9219,Tartu,2023-12-08,,2003
2843,Kati,Kaalep,,+372 5894 7754,Tartu,2023-01-11,silver,1979
2844,Anna,Mets,anna.mets@gmail.com,+372 5329 0538,Tallinn,2021-02-23,gold,1968
2845,Kevin,Lass,,+372 5819 5834,Võru,2021-07-19,silver,1973
2846,Ants,Org,ants.org@outlook.com,+372 5263 1163,Tallinn,2021-08-20,,1960
2847,Margus,Vaher,margus.vaher@mail.ee,+372 5309 5419,Tartu,2024-09-09,,1999
2848,Kaido,Teder,kaido.teder@telia.ee,+372 5745 3740,Rakvere,2022-02-11,silver,1996
2849,Kersti,Põld,,+372 5487 9389,Pärnu,2021-07-30,gold,1966
2850,Madis,Hurt,madis.hurt@telia.ee,+372 8977 9462,Narva,2021-11-04,silver,1976
2851,Ene,Kull,ene.kull@gmail.com,+372 5161 7121,Võru,2020-05-14,silver,1965
2852,Marko,Paju,marko.paju@gmail.com,+372 8898 4858,Tallinn,2022-03-19,silver,1985
2853,Taavi,Pihl,taavi.pihl2@yahoo.com,+372 5141 6471,Tartu,2024-02-16,,1992
2854,Olev,Saar,olev.saar@gmail.com,+372 5972 6472,Tartu,2020-03-06,silver,1960
2855,Merle,Järv,merle.jarv@outlook.com,+372 5659 1565,Tartu,2021-12-23,,1965
2856,Kristjan,Liiv,kristjan.liiv@telia.ee,+372 8100 3254,Tallinn,2024-07-27,silver,1970
2857,Külli,Ilves,kulli.ilves@mail.ee,+372 5847 9163,Tallinn,2020-05-28,gold,1983
2858,Aili,Oja,aili.oja@hot.ee,+372 8349 2454,Tallinn,2024-10-07,bronze,1985
2859,Maie,Saar,maie.saar@gmail.com,+372 8621 2851,Tartu,2023-04-16,,1975
2860,Margus,Kukk,,+372 5509 4182,Tallinn,2022-06-14,,1983
2861,Raivo,Koppel,raivo.koppel@gmail.com,+372 5477 1893,Tallinn,2024-04-26,gold,1980
2862,Jüri,Lõhmus,,+372 5738 8669,Tallinn,2024-02-05,,1978
2863,Maris,Paas,maris.paas@telia.ee,+372 5775 6632,Võru,2021-09-20,gold,1999
2864,Kristiina,Toom,kristiina.toom@telia.ee,+372 5541 9959,Tartu,2020-05-15,silver,1991
2865,Arvo,Järv,arvo.jarv@hot.ee,+372 5297 4585,Tallinn,2022-08-17,bronze,1963
2866,Sigrid,Paas,,+372 8176 9010,Jõhvi,2024-07-19,,1994
2867,Mihkel,Kallas,,+372 5424 3890,Tallinn,2021-09-04,gold,1973
2868,Annika,Nurk,annika.nurk@mail.ee,+372 5567 8473,Viljandi,2024-08-13,,1988
2869,Maris,Kaalep,maris.kaalep@hot.ee,+372 5322 5498,Pärnu,2023-11-22,,1993
2870,Kevin,Tammik,kevin.tammik@outlook.com,+372 5760 4762,Tallinn,2023-11-08,bronze,2005
2871,Külli,Mitt,,+372 5953 4402,Jõhvi,2022-02-07,gold,1961
2872,Kadri,Vaher,kadri.vaher@mail.ee,+372 8986 8363,Tallinn,2021-02-24,silver,2005
2873,Kristiina,Lepp,kristiina.lepp@outlook.com,+372 8399 3340,Viljandi,2024-07-02,bronze,1989
2874,Annika,Valk,annika.valk@yahoo.com,+372 8927 4768,Paide,2024-02-26,,1974
2875,Kadri,Tammik,kadri.tammik2@gmail.com,+372 8695 2028,Tallinn,2023-10-17,bronze,1988
2876,Sandra,Veski,sandra.veski@mail.ee,+372 8186 1726,Tallinn,2021-10-23,,1992
2877,Sigrid,Lepik,sigrid.lepik@mail.ee,+372 5528 3768,Tallinn,2024-06-02,,1998
2878,Ago,Oja,ago.oja@outlook.com,+372 8737 1391,Kuressaare,2024-08-04,bronze,1967
2879,Madis,Kask,madis.kask@outlook.com,+372 5746 7847,Tallinn,2024-05-25,bronze,1994
2880,Madis,Pärn,madis.parn@yahoo.com,+372 5395 1674,Tallinn,2024-03-10,,1986
2881,Maie,Veski,maie.veski@telia.ee,+372 8616 0838,Tartu,2022-07-16,gold,1985
2882,Piret,Lass,piret.lass@yahoo.com,+372 8939 0839,Tallinn,2020-03-18,bronze,2004
2883,Toomas,Mets,toomas.mets@gmail.com,+372 5914 0463,Viljandi,2023-05-20,silver,1964
2884,Marko,Raud,,+372 5132 4451,Tallinn,2020-12-14,,2000
2885,Kaido,Arro,kaido.arro@mail.ee,+372 5945 4811,Viljandi,2023-06-10,silver,1972
2886,Arvo,Vaher,arvo.vaher@telia.ee,+372 5249 7623,Võru,2023-09-09,,1986
2887,Jaak,Rosin,jaak.rosin@mail.ee,+372 8210 9170,Tartu,2020-02-20,silver,2004
2888,Liina,Kangur,liina.kangur@yahoo.com,+372 8226 1363,Tallinn,2020-05-09,silver,1996
2889,Laura,Tammik,laura.tammik@yahoo.com,+372 5110 1634,Pärnu,2022-10-16,silver,1965
2890,Kristiina,Veski,kristiina.veski@mail.ee,+372 8876 2347,Tallinn,2022-02-10,gold,1986
2891,Taavi,Oja,taavi.oja@telia.ee,+372 5872 8047,Tartu,2022-04-02,,1968
2892,Marit,Värk,marit.vark@gmail.com,+372 5755 2066,Paide,2021-09-05,silver,2003
2893,Madis,Lass,madis.lass2@telia.ee,+372 5420 5356,Tartu,2021-07-04,,1976
2894,Ragnar,Orav,ragnar.orav@yahoo.com,+372 5972 1436,Tallinn,2023-05-23,,2003
2895,Pille,Lõoke,pille.looke@outlook.com,+372 8967 2009,Tallinn,2022-07-23,,1996
2896,Tarmo,Vaher,tarmo.vaher@outlook.com,+372 5565 0779,Pärnu,2025-01-27,bronze,2004
2897,Sigrid,Arro,sigrid.arro@gmail.com,+372 8302 3181,Jõhvi,2023-12-07,bronze,1973
2898,Jaak,Talvik,jaak.talvik@gmail.com,+372 5822 9799,Tartu,2021-03-02,silver,1960
2899,Terje,Pihl,,+372 5325 1963,Tartu,2021-11-20,,1993
2900,Liis,Sepp,,+372 5353 3456,Haapsalu,2023-10-24,silver,1995
2901,Meelis,Laas,,+372 5728 7208,Tallinn,2023-05-15,silver,1967
2902,Hille,Kallas,hille.kallas@mail.ee,+372 5674 6876,Tallinn,2024-03-14,silver,1989
2903,Merle,Toom,,+372 5639 4043,Tartu,2025-01-13,silver,1998
2904,Lea,Lõhmus,lea.lohmus@hot.ee,+372 5700 6848,Tartu,2024-10-09,bronze,1972
2905,Sandra,Raud,sandra.raud@outlook.com,+372 5141 1657,Tartu,2020-04-02,silver,1979
2906,Ragnar,Lepik,ragnar.lepik@hot.ee,+372 8734 1222,Tartu,2021-09-20,silver,1990
2907,Annika,Kõiv,annika.koiv@outlook.com,+372 5280 1357,Narva,2024-04-01,,1993
2908,Toomas,Paas,toomas.paas@outlook.com,+372 5497 3979,Pärnu,2023-10-24,silver,1977
2909,Aili,Kuusik,aili.kuusik@telia.ee,+372 5414 5854,Rakvere,2023-01-04,,1977
2910,Tarmo,Vaher,tarmo.vaher2@outlook.com,+372 5794 4656,Tallinn,2022-02-08,gold,1963
2911,Liina,Lill,liina.lill@gmail.com,+372 8515 8300,Tallinn,2023-01-26,,1989
2912,Raivo,Lõoke,raivo.looke@telia.ee,+372 8480 4646,Tartu,2020-10-17,,1961
2913,Aili,Hurt,aili.hurt@yahoo.com,+372 5145 1945,Tallinn,2020-01-12,,2001
2914,Rein,Luik,,+372 8696 4172,Tallinn,2024-07-07,,1996
2915,Tõnu,Saar,tonu.saar2@mail.ee,+372 5442 2152,Tallinn,2020-03-16,,1989
2916,Marika,Aas,marika.aas@mail.ee,+372 5991 9344,Tallinn,2022-08-11,bronze,1988
2917,Ago,Kukk,ago.kukk@hot.ee,+372 5927 4998,Tallinn,2022-04-28,bronze,1972
2918,Andres,Ilves,andres.ilves@telia.ee,+372 8845 8263,Viljandi,2024-12-20,bronze,1973
2919,Terje,Oja,terje.oja@gmail.com,+372 5970 6464,Tartu,2024-06-27,bronze,1974
2920,Merle,Lepik,merle.lepik@hot.ee,+372 5283 9599,Tartu,2023-11-20,,1988
2921,Henri,Nõmm,henri.nomm@telia.ee,+372 5641 5959,Tallinn,2023-08-08,bronze,1983
2922,Reet,Laas,reet.laas2@gmail.com,+372 5296 8037,Haapsalu,2024-01-07,,2004
2923,Ragnar,Kallas,ragnar.kallas@gmail.com,+372 5249 5505,Tallinn,2024-09-23,silver,1964
2924,Margus,Veski,margus.veski@hot.ee,+372 8148 9653,Tallinn,2022-08-26,,1963
2925,Maie,Roots,maie.roots@yahoo.com,+372 5603 0243,Tartu,2025-02-25,,1964
2926,Maie,Lõhmus,maie.lohmus@outlook.com,+372 5103 6773,Viljandi,2021-12-30,,1963
2927,Rasmus,Männik,rasmus.mannik2@gmail.com,+372 5941 5773,Tallinn,2022-09-23,silver,1961
2928,Jüri,Vaher,juri.vaher@yahoo.com,+372 8639 7848,Kuressaare,2020-02-01,,1963
2929,Kadri,Pihl,kadri.pihl@gmail.com,+372 5368 1550,Tallinn,2021-11-30,gold,1961
2930,Priit,Kull,priit.kull@gmail.com,+372 5685 3319,Tallinn,2022-10-29,,1997
2931,Meelis,Kask,meelis.kask@mail.ee,+372 5781 1648,Tartu,2023-06-16,bronze,1999
2932,Karin,Kaalep,,+372 8606 0944,Tallinn,2023-07-13,bronze,1967
2933,Indrek,Lepik,indrek.lepik@outlook.com,+372 8856 3215,Narva,2020-03-12,gold,1986
2934,Arvo,Roots,arvo.roots@gmail.com,+372 5746 0416,Tartu,2024-02-07,,2000
2935,Margus,Vaher,margus.vaher2@mail.ee,+372 5569 5936,Narva,2020-02-19,gold,1998
2936,Aili,Teder,aili.teder@hot.ee,+372 5672 5278,Tallinn,2022-06-06,silver,1979
2937,Kersti,Puusepp,kersti.puusepp@gmail.com,+372 5177 9376,Tallinn,2021-02-15,,1997
2938,Liina,Kukk,liina.kukk@gmail.com,+372 5692 8404,Rakvere,2022-04-03,bronze,1986
2939,Anna,Rosin,anna.rosin@mail.ee,+372 5961 7699,Kuressaare,2020-09-25,silver,1975
2940,Rain,Rebane,rain.rebane@hot.ee,+372 5206 1830,Pärnu,2023-10-20,bronze,1963
2941,Hille,Lepik,hille.lepik@mail.ee,+372 8556 8556,Pärnu,2020-12-04,,1969
2942,Laura,Oja,laura.oja@hot.ee,+372 8306 6545,Haapsalu,2021-11-08,,1970
2943,Marit,Tammik,marit.tammik@outlook.com,+372 8396 5298,Jõhvi,2023-03-20,gold,1983
2944,Merle,Kivi,merle.kivi@yahoo.com,+372 5128 6403,Pärnu,2020-11-12,,1998
2945,Raivo,Salu,,+372 5753 0612,Tartu,2024-10-07,bronze,1973
2946,Annika,Toom,,+372 5198 6146,Võru,2024-02-15,,1978
2947,Mart,Aas,mart.aas@mail.ee,+372 8112 0375,Tallinn,2024-08-20,,1995
2948,Priit,Teder,,+372 8192 8267,Narva,2022-09-07,gold,1973
2949,Sandra,Lõoke,sandra.looke@gmail.com,+372 5601 5673,Tartu,2020-12-26,,2001
2950,Aili,Mets,aili.mets@telia.ee,+372 8904 7724,Tallinn,2023-09-10,,2000
2951,Lea,Mets,,+372 5143 2163,Rakvere,2022-06-07,,2000
2952,Sandra,Sild,sandra.sild@yahoo.com,+372 5398 0586,Valga,2022-05-31,silver,1990
2953,Liis,Kivi,liis.kivi@yahoo.com,+372 8375 7084,Tallinn,2024-08-05,silver,1989
2954,Kersti,Lõoke,,+372 5823 8561,Tallinn,2020-07-28,,1971
2955,Tiina,Laas,tiina.laas@hot.ee,+372 5263 6380,Tallinn,2024-08-23,,1986
2956,Kristi,Kuusik,kristi.kuusik@gmail.com,+372 5397 8117,Tallinn,2020-09-14,bronze,1999
2957,Peeter,Raud,peeter.raud@gmail.com,+372 5792 2389,Tallinn,2023-01-15,,1976
2958,Sandra,Orav,sandra.orav@hot.ee,+372 5843 7436,Tallinn,2023-02-08,gold,1986
2959,Külli,Raud,kulli.raud@mail.ee,+372 5125 5139,Tallinn,2025-02-27,bronze,1984
2960,Maie,Paju,maie.paju@telia.ee,+372 5421 4338,Pärnu,2023-04-28,silver,1974
2961,Siim,Männik,siim.mannik@yahoo.com,+372 5938 5204,Tallinn,2020-03-05,,1991
2962,Rain,Raid,rain.raid@gmail.com,+372 8259 6289,Narva,2023-11-08,,2001
2963,Urmas,Kuusk,urmas.kuusk@mail.ee,+372 8836 5369,Kuressaare,2023-01-04,silver,1989
2964,Hille,Lill,hille.lill@outlook.com,+372 5532 1590,Tallinn,2024-04-28,gold,2001
